Frame,X,Y,Width,Height,Area,Angle,Width-S,Height-S,Altitude,center-ix,center-iy,center-ox,center-oy,M-dist,E-dist,GSD-X,GSD-Y,X-cm,Y-cm,GSD
79,1834,1089,119,117,13923,-68.56539587,3840,2160,42,1920,1080,1893.5,1147.5,94,72.51551558,1.420168067,1.52991453,169,179,1.415
80,1835,1089,118,117,13806,-68.93405435,3840,2160,42,1920,1080,1894,1147.5,93.5,72.33429339,1.43220339,1.52991453,169,179,1.415
81,1835,1088,119,118,14042,-69.16332464,3840,2160,42,1920,1080,1894.5,1147,92.5,71.68856255,1.420168067,1.516949153,169,179,1.415
82,1836,1088,118,118,13924,-69.53772848,3840,2160,42,1920,1080,1895,1147,92,71.51223672,1.43220339,1.516949153,169,179,1.415
83,1836,1088,119,118,14042,-69.91396704,3840,2160,42,1920,1080,1895.5,1147,91.5,71.33897953,1.420168067,1.516949153,169,179,1.415
84,1836,1080,119,126,14994,-68.74949449,3840,2160,42,1920,1080,1895.5,1143,87.5,67.59622771,1.420168067,1.420634921,169,179,1.415
85,1836,1079,119,127,15113,-68.59482057,3840,2160,42,1920,1080,1895.5,1142.5,87,67.13046998,1.420168067,1.409448819,169,179,1.415
86,1835,1079,118,126,14868,-67.24902366,3840,2160,42,1920,1080,1894,1142,88,67.23094526,1.43220339,1.420634921,169,179,1.415
87,1834,1088,118,118,13924,-68.05130092,3840,2160,42,1920,1080,1893,1147,94,72.23572523,1.43220339,1.516949153,169,179,1.415
88,1832,1088,119,117,13923,-66.80140949,3840,2160,42,1920,1080,1891.5,1146.5,95,72.34984451,1.420168067,1.52991453,169,179,1.415
89,1830,1088,119,117,13923,-65.36160328,3840,2160,42,1920,1080,1889.5,1146.5,97,73.16078184,1.420168067,1.52991453,169,179,1.415
90,1828,1087,119,117,13923,-63.61016473,3840,2160,42,1920,1080,1887.5,1145.5,98,73.11976477,1.420168067,1.52991453,169,179,1.415
91,1826,1087,119,118,14042,-62.40270413,3840,2160,42,1920,1080,1885.5,1146,100.5,74.47314952,1.420168067,1.516949153,169,179,1.415
92,1823,1087,119,118,14042,-60.39554925,3840,2160,42,1920,1080,1882.5,1146,103.5,75.90948557,1.420168067,1.516949153,169,179,1.415
93,1821,1087,118,118,13924,-58.78159724,3840,2160,42,1920,1080,1880,1146,106,77.17512553,1.43220339,1.516949153,169,179,1.415
94,1817,1087,119,117,13923,-56.41098313,3840,2160,42,1920,1080,1876.5,1145.5,109,78.6288751,1.420168067,1.52991453,169,179,1.415
95,1814,1078,118,126,14868,-52.38604315,3840,2160,42,1920,1080,1873,1141,108,77.00649323,1.43220339,1.420634921,169,179,1.415
96,1810,1078,119,126,14994,-50.3797016,3840,2160,42,1920,1080,1869.5,1141,111.5,79.19122426,1.420168067,1.420634921,169,179,1.415
97,1806,1078,119,126,14994,-48.22104022,3840,2160,42,1920,1080,1865.5,1141,115.5,81.80006112,1.420168067,1.420634921,169,179,1.415
98,1802,1078,118,126,14868,-45.95484125,3840,2160,42,1920,1080,1861,1141,120,84.86459804,1.43220339,1.420634921,169,179,1.415
99,1798,1087,118,117,13806,-46.11456327,3840,2160,42,1920,1080,1857,1145.5,128.5,90.88041593,1.43220339,1.52991453,169,179,1.415
100,1793,1087,118,117,13806,-43.92717072,3840,2160,42,1920,1080,1852,1145.5,133.5,94.41530596,1.43220339,1.52991453,169,179,1.415
101,1788,1087,118,117,13806,-41.90036788,3840,2160,42,1920,1080,1847,1145.5,138.5,98.07777526,1.43220339,1.52991453,169,179,1.415
