Frame,X,Y,Width,Height,Area,Angle,Width-S,Height-S,Height-D,center-ix,center-iy,center-ox,center-oy,M-dist,E-dist,X-cm,Y-cm
128,1569,1091,117,117,13689,-13.3660128,3840,2160,42,1920,1080,1627.5,1149.5,362,300.6434766,169,179
129,1558,1091,117,117,13689,-12.89806646,3840,2160,42,1920,1080,1616.5,1149.5,373,311.3559057,169,179
130,1547,1092,117,117,13689,-12.63485732,3840,2160,42,1920,1080,1605.5,1150.5,385,322.3049798,169,179
131,1535,1092,117,116,13572,-12.10074911,3840,2160,42,1920,1080,1593.5,1150,396.5,333.9195262,169,179
132,1524,1092,117,117,13689,-11.79879245,3840,2160,42,1920,1080,1582.5,1150.5,408,344.7847154,169,179
133,1512,1093,117,116,13572,-11.48322135,3840,2160,42,1920,1080,1570.5,1151,420.5,356.6388229,169,179
134,1500,1093,116,116,13456,-11.09671152,3840,2160,42,1920,1080,1558,1151,433,368.8970046,169,179
135,1488,1093,116,116,13456,-10.74909525,3840,2160,42,1920,1080,1546,1151,445,380.6796554,169,179
136,1475,1093,117,117,13689,-10.4808598,3840,2160,42,1920,1080,1533.5,1151.5,458,393.0578838,169,179
137,1463,1094,116,116,13456,-10.22900829,3840,2160,42,1920,1080,1521,1152,471,405.4442008,169,179
138,1450,1094,116,116,13456,-9.912751447,3840,2160,42,1920,1080,1508,1152,484,418.243948,169,179
139,1437,1094,116,116,13456,-9.615285405,3840,2160,42,1920,1080,1495,1152,497,431.0556809,169,179
140,1424,1095,116,116,13456,-9.462322208,3840,2160,42,1920,1080,1482,1153,511,444.0416647,169,179
141,1410,1095,116,116,13456,-9.174302762,3840,2160,42,1920,1080,1468,1153,525,457.8569646,169,179
142,1395,1095,116,116,13456,-8.884401771,3840,2160,42,1920,1080,1453,1153,540,472.671133,169,179
143,1380,1095,116,116,13456,-8.612126841,3840,2160,42,1920,1080,1438,1153,555,487.4966667,169,179
144,1366,1095,116,117,13572,-8.429062247,3840,2160,42,1920,1080,1424,1153.5,569.5,501.4162443,169,179
145,1352,1096,116,115,13340,-8.20086697,3840,2160,42,1920,1080,1410,1153.5,583.5,515.2691044,169,179
146,1339,1097,115,115,13225,-8.099454708,3840,2160,42,1920,1080,1396.5,1154.5,598,528.7745266,169,179
147,1326,1097,115,116,13340,-7.958088391,3840,2160,42,1920,1080,1383.5,1155,611.5,541.7169464,169,179
148,1314,1098,115,115,13225,-7.837406154,3840,2160,42,1920,1080,1371.5,1155.5,624,553.6718342,169,179
